Reporting Area,MMWRYear,MMWRWeek,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2017","Cryptosporidiosis, Cum 2017, flag","Cryptosporidiosis, Cum 2016","Cryptosporidiosis, Cum 2016, flag","Dengue Virus Infection, Dengue§, Current week","Dengue Virus Infection, Dengue§, Current week, flag","Dengue Virus Infection, Dengue§, Previous 52 weeks Med","Dengue Virus Infection, Dengue§, Previous 52 weeks Med, flag","Dengue Virus Infection, Dengue§, Previous 52 weeks Max","Dengue Virus Infection, Dengue§, Previous 52 weeks Max, flag","Dengue Virus Infection, Dengue§, Cum 2017","Dengue Virus Infection, Dengue§, Cum 2017, flag","Dengue Virus Infection, Dengue§, Cum 2016","Dengue Virus Infection, Dengue§, Cum 2016, flag","Dengue Virus Infection, Severe Dengue, Current week","Dengue Virus Infection, Severe Dengue, Current week, flag","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Med","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Med, flag","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Max","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Max, flag","Dengue Virus Infection, Severe Dengue, Cum 2017","Dengue Virus Infection, Severe Dengue, Cum 2017, flag","Dengue Virus Infection, Severe Dengue, Cum 2016","Dengue Virus Infection, Severe Dengue, Cum 2016, flag",Location 1,Location 2
MONTANA,2017,28,,-,1,,6,,38,,35,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
AMER. SAMOA,2017,1,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MAINE,2017,28,,-,1,,5,,25,,23,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEW YORK CITY,2017,28,3,,4,,12,,80,,54,,,-,0,,7,,4,,58,,,-,0,,0,,,-,,-,,
GEORGIA,2017,28,5,,7,,22,,168,,140,,,-,0,,2,,2,,14,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
UNITED STATES,2017,30,95,,153,,757,,3846,,4904,,,-,5,,37,,74,,633,,,-,0,,1,,3,,7,,,
ALABAMA,2017,1,3,,5,,27,,3,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
HAWAII,2017,1,,-,0,,3,,,-,,-,,-,0,,11,,,-,11,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
TENNESSEE,2017,1,,-,3,,9,,,-,2,,1,,0,,1,,1,,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
MAINE,2017,1,,-,1,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
GEORGIA,2017,1,,-,6,,25,,,-,7,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MISSOURI,2017,1,,-,6,,22,,,-,2,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
ARIZONA,2017,1,1,,3,,83,,1,,3,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
NEBRASKA,2017,1,1,,4,,16,,1,,4,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
WYOMING,2017,1,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
VERMONT,2017,1,,-,1,,10,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
PUERTO RICO,2017,1,,-,0,,1,,,-,,-,,-,2,,27,,,-,2,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
SOUTH DAKOTA,2017,1,,-,3,,7,,,-,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NORTH DAKOTA,2017,1,,-,0,,5,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MINNESOTA,2017,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
WEST VIRGINIA,2017,1,,-,0,,5,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
OREGON,2017,1,1,,6,,26,,1,,3,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
MASSACHUSETTS,2017,1,,-,3,,14,,,-,2,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
MICHIGAN,2017,1,,-,6,,23,,,-,6,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
IOWA,2017,1,,-,9,,65,,,-,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
SOUTH CAROLINA,2017,1,,-,1,,8,,,-,5,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
ILLINOIS,2017,1,,-,4,,50,,,-,4,,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
FLORIDA,2017,1,1,,12,,31,,1,,4,,,-,1,,4,,,-,4,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
NEW JERSEY,2017,1,,-,2,,18,,,-,2,,,-,1,,5,,,-,2,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
MARYLAND,2017,1,,-,2,,10,,,-,3,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
PENNSYLVANIA,2017,1,,-,7,,22,,,-,6,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MISSISSIPPI,2017,1,,-,1,,3,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEW MEXICO,2017,1,,-,1,,7,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
ARKANSAS,2017,1,,-,1,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
INDIANA,2017,1,,-,3,,8,,,-,2,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
UTAH,2017,1,,-,3,,24,,,-,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
CONNECTICUT,2017,1,,-,1,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
OHIO,2017,1,8,,12,,206,,8,,9,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
LOUISIANA,2017,1,,-,1,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
DIST. OF COL.,2017,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
KANSAS,2017,1,,-,2,,7,,,-,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
DELAWARE,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
IDAHO,2017,1,,-,2,,10,,,-,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
ALASKA,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WASHINGTON,2017,1,,-,0,,34,,,-,,-,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
CALIFORNIA,2017,1,,-,7,,15,,,-,5,,,-,2,,15,,,-,15,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
TEXAS,2017,1,,-,11,,33,,,-,3,,,-,1,,4,,,-,,-,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
MONTANA,2017,1,,-,1,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NEVADA,2017,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
WISCONSIN,2017,1,3,,12,,52,,3,,9,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
KENTUCKY,2017,1,,-,2,,7,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NEW YORK,2017,1,6,,5,,25,,6,,1,,,-,1,,5,,,-,3,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
C.N.M.I.,2017,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
VIRGIN ISL.,2017,1,,-,0,,0,,,-,,-,,-,1,,5,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW HAMPSHIRE,2017,1,,-,1,,7,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NORTH CAROLINA,2017,1,,-,3,,17,,,-,3,,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
OKLAHOMA,2017,1,,-,3,,9,,,-,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
COLORADO,2017,1,2,,0,,1,,2,,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
VIRGINIA,2017,1,,-,4,,12,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
RHODE ISLAND,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
GUAM,2017,1,,-,0,,0,,,-,,-,,-,1,,1,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
VIRGIN ISL.,2017,2,,-,0,,0,,,-,,-,,-,1,,5,,,-,1,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MICHIGAN,2017,2,,-,6,,23,,,-,9,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
S. ATLANTIC,2017,2,12,,25,,79,,18,,58,,,-,2,,7,,,-,14,,,-,0,,1,,,-,,-,,
WASHINGTON,2017,2,,-,0,,34,,,-,,-,,-,0,,2,,,-,3,,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
NEW YORK CITY,2017,2,7,,3,,12,,12,,7,,,-,0,,4,,,-,7,,,-,0,,0,,,-,,-,,
NORTH DAKOTA,2017,2,,-,0,,5,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
TEXAS,2017,2,4,,12,,33,,4,,6,,,-,1,,4,,,-,,-,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
OKLAHOMA,2017,2,1,,3,,9,,1,,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
DELAWARE,2017,2,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MOUNTAIN,2017,2,8,,15,,123,,11,,20,,,-,1,,4,,,-,3,,,-,0,,1,,,-,,-,,
WISCONSIN,2017,2,,-,12,,57,,4,,13,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
TENNESSEE,2017,2,2,,3,,9,,2,,2,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
E.N. CENTRAL,2017,2,5,,34,,303,,20,,50,,,-,1,,7,,,-,7,,,-,0,,1,,,-,,-,,
ARKANSAS,2017,2,1,,1,,4,,1,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
WEST VIRGINIA,2017,2,,-,0,,5,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
IDAHO,2017,2,,-,2,,10,,,-,5,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
OREGON,2017,2,1,,6,,26,,2,,6,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
UNITED STATES,2017,2,51,,155,,732,,96,,217,,,-,13,,40,,1,,86,,,-,0,,1,,,-,,-,,
LOUISIANA,2017,2,,-,1,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
ALABAMA,2017,2,2,,5,,27,,5,,4,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
FLORIDA,2017,2,7,,12,,31,,8,,16,,,-,1,,3,,,-,7,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
PACIFIC,2017,2,3,,13,,47,,7,,17,,,-,3,,19,,,-,40,,,-,0,,1,,,-,,-,,
IOWA,2017,2,,-,9,,65,,,-,4,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
ILLINOIS,2017,2,,-,5,,50,,3,,7,,,-,0,,3,,,-,3,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
SOUTH CAROLINA,2017,2,1,,1,,8,,1,,9,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
DIST. OF COL.,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MISSOURI,2017,2,,-,6,,22,,,-,5,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
MISSISSIPPI,2017,2,,-,1,,3,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
PENNSYLVANIA,2017,2,2,,7,,22,,4,,11,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
SOUTH DAKOTA,2017,2,,-,3,,7,,,-,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MAINE,2017,2,,-,1,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEW YORK CITY,2017,8,1,,4,,12,,25,,18,,,-,1,,7,,,-,28,,,-,0,,0,,,-,,-,,
MINNESOTA,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
CONNECTICUT,2017,2,,-,1,,5,,,-,,-,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
NORTH CAROLINA,2017,2,,-,4,,17,,,-,5,,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW JERSEY,2017,2,,-,2,,18,,,-,2,,,-,1,,5,,,-,5,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
AMER. SAMOA,2017,2,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
ARIZONA,2017,2,2,,2,,83,,3,,3,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
NEW MEXICO,2017,2,,-,1,,7,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
MID. ATLANTIC,2017,2,9,,14,,60,,22,,26,,,-,3,,10,,,-,14,,,-,0,,0,,,-,,-,,
KENTUCKY,2017,2,2,,2,,7,,2,,4,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
PUERTO RICO,2017,2,,-,0,,1,,,-,,-,,-,2,,27,,,-,4,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MASSACHUSETTS,2017,2,,-,3,,14,,,-,4,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
HAWAII,2017,2,,-,0,,3,,,-,,-,,-,0,,11,,,-,19,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
W.S. CENTRAL,2017,2,6,,17,,39,,6,,7,,,-,1,,4,,,-,1,,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2017,2,6,,10,,43,,9,,11,,,-,0,,2,,1,,,-,,-,0,,0,,,-,,-,,
VIRGINIA,2017,2,,-,4,,12,,1,,4,,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
ALASKA,2017,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
CALIFORNIA,2017,2,2,,7,,15,,5,,11,,,-,2,,13,,,-,18,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
OHIO,2017,2,5,,12,,206,,13,,13,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
